Flow ID, Timestamp, Flow Duration, Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min,Flow Bytes/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min, Idle Std, Label, Protocol_0, Protocol_6
172.16.0.1-192.168.10.50-54675-80-6,0,0.0788897344351076,1.3651380154533624e-05,1.8604651162790695e-06,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0,0.0,1.4518607067783967e-300,0.0262966499261962,0.064452982738972,0.0788896914536167,1.2499998541666836e-07,0.0262965444416666,0.0646033162410492,1.0833332250000109e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558262604472,0.9945919326979602,1.4084374133333333e-07,0.0,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.0,1.4047771789264692e-05,0.9999997802078264,4.5454545454545464e-08,0.0,4.5454545454545464e-08,4.5454545454545464e-08,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54675-80-6,0,0.0151801986084817,9.100920103022416e-06,2.0155038759689923e-06,0.0008058017727639,0.0,0.0014588242838344,0.4485407066052227,0.0,1.4518961982445812e-300,0.0025301233367366,0.0086805276977069,0.0150512317027832,1.0916665393055704e-06,6.27e-05,0.0001228952495954,1.5333331800000151e-06,0.0151791166666666,0.0050597055558333,0.0123002870178118,0.015051125,1.5583333333333334e-06,0.0,0.0,0.0,0.0,0.9998558260121304,0.9945920179163048,5.489646253333334e-07,1.0979292505e-06,0.0,0.3529411764705882,0.43551476885426,0.4328884303125,0.0,0.0,1.0,0.0,0.0,0.0064102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.1250152587890625,0.003509521484375,9.365181192843128e-06,0.9999997802078264,0.0,0.0,0.0,0.0,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54675-80-6,0,0.746323756586989,3.185322036057845e-05,4.34108527131783e-06,0.0008058017727639,0.0,0.0011782811522825,0.5189452124935996,0.0,1.4518614170889345e-300,0.062193744654011,0.2924519281179206,0.7191666970902746,1.2499998541666836e-07,0.105,0.3841474553865386,1.0833332250000109e-07,0.0089111916666666,0.0022277979166666,0.006324909623849,0.008902,4.1666666666666676e-08,0.0,0.0,0.0,0.0,0.9998558291160932,0.994592036442032,2.9775581000000003e-08,2.7914607e-08,0.0,0.4083400483481064,0.2497645548052125,0.3266635903125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.003509521484375,2.8095543578529385e-05,0.9999997802078264,0.0196433272727272,0.0,0.0196433272727272,0.0196433272727272,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54675-80-6,0,0.0798646843457372,0.0,4.651162790697674e-07,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0003072196620583,0.0020718232044198,1.4518607135713863e-300,0.0159730232695891,0.0503379205930533,0.0796064580426337,8.349999025833446e-06,0.0,0.0,9.9999990000001e-08,0.07968975,0.0199224375,0.0565603784791039,0.0796063583333333,8.233333333333333e-06,0.0,0.0,0.0,0.0,0.9998558243980696,0.9945920253265956,3.4781096333333335e-08,2.608582235e-07,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,1.0,1.0,0.032051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.003509521484375,1.52587890625e-05,0.0,0.9999997802078264,0.0002817,0.0,0.0002817,0.0002817,0.0,BENIGN,0.0,1.0
172.16.0.1-192.168.10.50-54676-80-6,1,0.0086115325439428,9.100920103022416e-06,2.0155038759689923e-06,0.0008058017727639,0.0,0.0014588242838344,0.2990271377368151,0.0,1.4519232813632605e-300,0.0012303117717162,0.0044943726453194,0.0084313324199389,5.16666606388896e-07,8.900416666666666e-05,0.0001775980113029,5.666666100000057e-07,0.0086109916666666,0.0021527479166666,0.0059510848773765,0.008431225,4e-07,0.0,0.0,0.0,0.0,0.9998558260121304,0.994592036442032,9.67706661e-07,2.4192666525e-06,0.0,0.2352941176470588,0.3871242390148598,0.1989336210267857,0.0,0.0,1.0,0.0,0.0,0.0064102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.1250152587890625,0.003509521484375,9.365181192843128e-06,0.9999997802078264,0.0,0.0,0.0,0.0,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54676-80-6,1,0.5978231951995405,3.185322036057845e-05,4.34108527131783e-06,0.0008058017727639,0.0,0.0011782811522825,0.2242703533026113,0.0,1.4518615965694585e-300,0.0459864988681293,0.2311313625448082,0.5883333779305508,1.4999998250000205e-07,0.085,0.3144099173317516,1.3333332000000134e-07,0.0013483583333333,0.0002696716666666,0.0008198654218305,0.0013008333333333,1.3333333333333336e-07,0.0,0.0,0.0,0.0,0.9998558291160932,0.9945920549677588,3.7171900333333344e-08,4.1818388e-08,0.0,0.1764705882352941,0.2329937214611726,0.0918748141964285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.003509521484375,2.8095543578529385e-05,0.9999997802078264,0.0087000636363636,0.0,0.0087000636363636,0.0087000636363636,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54676-80-6,0,0.0784898011384349,1.3651380154533624e-05,1.8604651162790695e-06,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0,0.0,1.4518607068502536e-300,0.0261633388323049,0.0641262361760701,0.0784897581636095,1.333333177777796e-07,0.0261632333333333,0.0642758075574043,1.1666665500000119e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558262604472,0.9945919326979602,1.41561391e-07,0.0,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.0,1.4047771789264692e-05,0.9999997802078264,4.5454545454545464e-08,0.0,4.5454545454545464e-08,4.5454545454545464e-08,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54676-80-6,0,0.0151796486085322,9.100920103022416e-06,2.0155038759689923e-06,0.0008058017727639,0.0,0.0014588242838344,0.2242703533026113,0.0,1.4518961995310524e-300,0.0018975508360986,0.0075211106477606,0.0150509233694833,2.416666384722255e-07,6.244583333333333e-05,0.0001221179605516,1.6666665000000166e-06,0.0151783833333333,0.0030356766666666,0.0095480287261367,0.0150508166666666,1.25e-07,0.0,0.0,0.0,0.0,0.9998558260121304,0.9945920549677588,5.48984516e-07,1.6469535474999998e-06,0.0,0.1764705882352941,0.348411815083408,0.1208401989285714,0.0,0.0,1.0,0.0,0.0,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.1250152587890625,0.003509521484375,9.365181192843128e-06,0.9999997802078264,0.0,0.0,0.0,0.0,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54676-80-6,0,0.7463193482540598,3.185322036057845e-05,4.34108527131783e-06,0.0008058017727639,0.0,0.0011782811522825,0.2242703533026113,0.0,1.4518614170932131e-300,0.0574092796806613,0.2818387533071896,0.7191666970902746,1.333333177777796e-07,0.105,0.3841474553865386,1.2499998750000125e-07,0.0088967166666666,0.0017793433333333,0.0056498202969816,0.0088892416666666,1.6666666666666667e-08,0.0,0.0,0.0,0.0,0.9998558291160932,0.9945920549677588,2.9775756666666668e-08,3.3497726499999994e-08,0.0,0.1764705882352941,0.2331135844748764,0.1182424902232142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.003509521484375,2.8095543578529385e-05,0.9999997802078264,0.0196448909090909,0.0,0.0196448909090909,0.0196448909090909,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54676-80-6,0,0.07986501767904,0.0,4.651162790697674e-07,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0003072196620583,0.0020718232044198,1.451860713571299e-300,0.0159730899362485,0.0503382351085927,0.0796069330425822,1.4166665013889082e-07,0.0,0.0,9.9999990000001e-08,0.0797069666666666,0.0199267416666666,0.0565567667855051,0.0796068333333333,2.5e-08,0.0,0.0,0.0,0.0,0.9998558243980696,0.9945920253265956,3.478095133333333e-08,2.60857135e-07,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,1.0,1.0,0.032051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.003509521484375,1.52587890625e-05,0.0,0.9999997802078264,0.0002815454545454,0.0,0.0002815454545454,0.0002815454545454,0.0,BENIGN,0.0,1.0
172.16.0.1-192.168.10.50-54677-80-6,1,0.0084802242226461,9.100920103022416e-06,2.0155038759689923e-06,0.0008058017727639,0.0,0.0014588242838344,0.3737839221710189,0.0,1.4519242505027461e-300,0.001211553440415,0.0045047847688635,0.0084307074200066,4.0833328569445e-07,2.32875e-05,4.463979380235846e-05,1.1333332200000113e-06,0.008479825,0.00211995625,0.0059804545579566,0.0084306,7.75e-07,0.0,0.0,0.0,0.0,0.9998558260121304,0.994592036442032,9.826908826666667e-07,2.456727207e-06,0.0,0.2941176470588235,0.3871242390148598,0.2703041567410714,0.0,0.0,1.0,0.0,0.0,0.0064102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.1250152587890625,0.003509521484375,9.365181192843128e-06,0.9999997802078264,0.0,0.0,0.0,0.0,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54677-80-6,1,0.5978175535333909,3.185322036057845e-05,4.34108527131783e-06,0.0008058017727639,0.0,0.0011782811522825,0.2990271377368151,0.0,1.4518615965779889e-300,0.0459860648931763,0.2311313625448082,0.5883333779305508,1.4999998250000205e-07,0.085,0.3144099173317516,1.3333332000000134e-07,0.0013507666666666,0.0002701533333333,0.0008210720446286,0.0013028333333333,3.916666666666667e-07,0.0,0.0,0.0,0.0,0.9998558291160932,0.9945920549677588,3.7172251e-08,4.18187825e-08,0.0,0.2352941176470588,0.2329937214611726,0.1190635897321428,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.003509521484375,2.8095543578529385e-05,0.9999997802078264,0.0086544818181818,0.0,0.0086544818181818,0.0086544818181818,0.0,DDoS,0.0,1.0
172.16.0.1-192.168.10.50-54677-80-6,0,0.0784733761399405,1.3651380154533624e-05,1.8604651162790695e-06,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0,0.0,1.4518607068532205e-300,0.026157863832898,0.0641128271136569,0.0784733414987213,1.2499998541666836e-07,0.0261577583333333,0.0642623672189939,1.0833332250000109e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558262604472,0.9945919326979602,1.4159102066666668e-07,0.0,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.0,1.4047771789264692e-05,0.9999997802078264,3.636363636363636e-08,0.0,3.636363636363636e-08,3.636363636363636e-08,0.0,DDoS,0.0,1.0
